"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 16:31:08 EEST 2021","Wed Aug 04 16:31:10 EEST 2021","2497","проверка лайков и дизлайков","","","","","найти случайного кота-запомнить количество лайков-пролайкать-проверить количество лайков",""
"passed","Wed Aug 04 16:31:10 EEST 2021","Wed Aug 04 16:31:11 EEST 2021","1043","проверка лайков и дизлайков","","","","","найти случайного кота-запомнить количество дизлайков-продизлайкать-проверить количество дизлайков",""
